Codigo Proyecto;Warning;Dif de avance;Estado;Cockpit;Mercado;3 Horizontes;Focos de Gerencia de Innovación;Focos de Innovación de Entel;Proyectos;Actividades;Categorias de innovación;Avance de Actividad %;Prioridad;Fecha de Proyecto;Responsable;Lidera;Equipo;Rol E&I;Comentario;
68;80%;0;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;2°Desafio Emakers;;e)Makers;80%;Media;19-04-16;JM;NK;;Seguimiento;Terminando primer ciclo de 3 - Etapa de Aceleración;
69;1%;-42479;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;3°Desafio Emakers;;e)Makers;30%;Media;;;;;;;
70;;;En Desarrollo;SI;;Experiencia Superior;Impulsar la Innovación Frontera;MT9 Mejor Experiencia;Iniciativas de marca;Contenido video 360 y Concierto;e)Makers;5%;Alta;30-03-16;AC;JMC;JS,MA,MJS,FN,GG;Liderazgo;;
71;;;En Desarrollo;SI;;Experiencia Superior;Impulsar la Innovación Frontera;MT9 Mejor Experiencia;Iniciativas de marca;SOSAFE;e)Makers;5%;Alta;31-03-16;AC;JMC;;Liderazgo;;
72;0%;0;No Comenzado;NO;;Transformacional;Impulsar la Innovación Frontera;MT6 Hogar Digital;Hogar Digital;;SA. Frontera;0%;Baja;19-04-16;;;;;;
73;1%;-42479;En Desarrollo;NO;;Trasformacional;Impulsar la Innovación Frontera;MT7 Evolucion del contenido;UX;Ericsson Digital Mature Assessment;SA. Frontera;10%;Alta;;;;;;En diseño el assessment a desarrollar Diciembre - Enero TBD CE;
74;1%;-125;En Desarrollo;NO;;Trasformacional;Impulsar la Innovación Frontera;MT7 Evolucion del contenido;Validación ux Data Manager;Validación ux Data Manager;SA. Frontera;70%;Media;16-12-15;;;;;Preparando informe;
75;1%;-19;En Desarrollo;NO;;Evolutiva;Apoyar la Innovación Base;MT2 Empresa Digital;Seguridad;Propuesta postura estrategica ;SA. Base;5%;Alta;31-03-16;AC;VC;;Seguimiento;Definiendo postura estrategica para realizar kick off;
76;1%;-42479;Terminado;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;REI;e)Makers;100%;;;JM;NK;;Seguimiento;;
77;1%;-42479;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;RFID;e)Makers;20%;Alto;;JM;NK;;Seguimiento;reunion con patricio loyola, para hacer evaluacion ;
78;1%;-42479;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Expendedora de SIM CARDS;e)Makers;20%;Alta;;JM;NK;;Seguimiento;evaluando con sandra schwantes;
79;1%;-42479;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Servicio Tecnico;e)Makers;60%;;;JM;NK;;Seguimiento;daniela se une a l equipo experiencia y claudio chadud y juan ignacio maturana;
